text,label,label_name
"930418  do what thou wilt shall be the whole of the law. [honestly.] the word of sin is restriction. [would i kid you?]   does one man's words encompass the majestic vision of thousands of individuals?  quoting a man is not the same as quoting the order.  taken out of context, words can be interpreted much differently than had one applied them within the confines of their original expression.  i think this is the case regarding hymenaeus beta, frater superior  of the order to which i belong.  when he included that bit from merlinus x' he did us all a service.  he showed us the extremes to which order members have been known to go in their fervor. i have little knowledge regarding reuss' background, but surely he was an unusual man, and he was an important force in the order  for many years.  yet as people change so do orders change, and while we look back so carefully at the dirty laundry of o.t.o. remember that this is only the surface skim and that many perspectives are now encompassed which extend beyond any one individual.  i hope to show that there was and is much room for a difference of opinion within the order itself, perhaps by testing the limits myself.   let us examine this issue a bit more closely....  ""in 1895, karl kellner (1850-1905), a wealthy austrian industrialist and paper chemist, as well as a high-grade mason, founded the ordo templi orientis.  kellner had traveled widely in the east, where he met three adepts who instructed him specific magical practices.   kellner's efforts to develop the order were later assisted by franz hartmann, heinrich klein and theodore reuss, who had worked together prior to joining the o.t.o.  the order was first proclaimed in 1902 in reuss's masonic publication, 'oriflamme'.  on kellner's death, reuss succeeded him as outer head [o.h.o.].  the 'jubilee' edition of the 'oriflamme', published in 1912, announced that the order taught secret of sexual magic.   ""theodore reuss was an interesting character.  born june 28, 1855 in augsburg, he entered masonry in 1876.  he was a singer, journalist and possibly a spy for the prussian political police, infiltrating the socialist league founded by karl marx's daughter and her husband.  reuss was later associated with william wynn westcott, a leader of the golden dawn, who later introduced him to john yarker.  yarker chartered reuss to found the rites of memphis and mizraim in germany.  after several attempts to concretize various masonic rites, reuss settled on the development of the o.t.o.  ""the order experienced reasonably steady growth under reuss' leadership. for example, he chartered papus in france, rudolph steiner in berlin and h. spencer lewis in the usa.  in 1912, the historic meeting between reuss and crowley occurred.  crowley wrote that reuss came to him and accused him of revealing order secrets.  when crowley looked at it afresh, the initiated interpretation of sexual magick unfolded itself to him for the first time.  reuss appointed crowley as supreme and holy king of all the english speaking world, and it was this authorization that he invoked when publishing the material of the equinox.  ""reuss resigned as outer head of the order in 1922 after suffering a stroke and named crowley his successor.  all was well until 1925 when _the book of the law_ was translated into german.  there was a break in the continuity of the order.  manyk members split with the new o.h.o. over the book, which crowley was actively promulgating through the order. he had earlier revise dthe order rituals at reuss's request, deeply infusing the doctrines of the new aeon revelation.""  _an introduction to the history of the o.t.o._, by ad veritatem ix'  within _equinox iii:10_, edited by    hymenaeus beta, frater superior, rex summus sanctissimus,     caliph of the united states of america,       published by samuel weiser, 1990.    there are many possible reasons that our frater superior included this material in _equinox iii:10_.  and this is the real point, is it not? why did he wish to publish such things about the history of his own organization?  does he represent a dogmatic threat to the principle of thelema?  or is he exercising his true will and putting forth very complex pictures with no easy answers?  a picture which leaves room for very many interpretations.  it is quite easy for me to see, for example, that all of o.t.o. derived out of the dribble of faltering masonry, purchased by clever hucksters with an ounce of courage and some writing ability to aid them.  and i can take that all the way down to our present caliph, whose feeble support of the 'law of thelema' is laughable at best.  would i be thrown out of the order for speaking in this way?   will i?   i think not. why?  because my frater will see it as a perspective, an interjection i am using as an example.  my illustration shows that we may express things in the context of a larger work and the true significance of this may be quite difficult to apprehend at first.  so it may be with oto and merlinus x'.  please look o.t.o. more carefully. i do not support reuss's words myself, as i am not qualified to assess them, and i am critical of their pomposity.  if i who am a member of the order take such a stand and am allowed to continue doing so, then what can this say about the health of the order?  does it mean that the order has 'gone soft' and abandoned its moral principles?  or does it mean that it is strong in its ability to let the will of universal kinship arise on its own, not shackled by some dogmatic requirement?  how shall we resolve these two possibilities?   i find a high calibre of individual associated with ordo templi orientis. they are often quite intelligent and sometimes very well versed in arcane or usual information.  they are quite often artists and geniuses.   having met some 20 longstanding members in the sf bay area (many who are or were very heavily involved with the order), i can vouch for the integrity of the organization as it stands.  i have sometimes questioned the policy of hymenaeus beta.  in these moments  i followed my intuition, and i've found little to stop me from requesting a second initiation from a different o.t.o. body.  i'm happily participating in social groups (feasts or initiations) and have come to know the gnostic mass well enough for my tastes.    this doesn't make me an authority on order politics and explanations, however. i can only hypothesize and relay to you what i understand based on my limited contact with other members.  i urge you not to take the words of merlinus x too far.  there are many ways to interpret words, and many people who have become involved with the order feel very strongly about the sanctity of personal freedom and the preservation of individual vision.  i welcome other comment on this issue and will be writing more in response to other posts in this thread.   invoke me under my stars.  love is the law, love under will.  i am i!",19,talk.religion.misc
"how about kirlian imaging ? i believe the faq for sci.skeptics (sp?)  has a nice write-up on this. they would certainly be most supportive  on helping you to build such a device and connect to a 120kvolt  supply so that you can take a serious look at your ""aura""... :-)",13,sci.med
"there is no notion of heliocentric, or even galacticentric either.    --------------------------------------------------------------------------------",0,alt.atheism
"in the following report: _turkey eyes regional role_ ankara, turkey (ap) april 27, 1993, we find in the last paragraph:  [turanist] although premier suleyman demirel criticized ozal's often [turanist] brash calls for more turkish influence, he also has spoken [turanist] of a swath of turkic peoples ""stretching from the adriatic [turanist] sea to the great wall of china.""  who does demirel think he is fooling? it seems at both ends of his envisioned  pan-turkic empire -- the balkans and the caucasus -- turkey's fascist boasts are being pre-empted.  i would suggest turkey let the world feel some of their ""grey wolf teeth"", and attempt to stretch from the adriatic to china! turkey will have cried ""wolf"" just once too much!",17,talk.politics.mideast
"many thanks to those who replied to my appeal for info on a drive i have which is 3.5"" 600rpm!!  i now have some information on how to modify this for use with a bbc b  computer. not only do you have to change the speed from 600 to 300 rpm (tried that) but also change 8 components in the rec/play section to allow for the lower data rate (250kbit, not 500kbit as it was designed for) and also change the recording current to allow for the low data rate/rev speed!  hopefully this should sort it all out .... not bad for 9 quid (normally 32  quid and upwards ....)  the drive is a jvc mdp series drive ...",12,sci.electronics
"......... i, some years ago, almost became a victim of this.  squirted a fair amount in an old model 15 teletype which was acting up, then turned it on.  the eruption when the motor starting contacts broke was mighty spectacular... i almost got my eyebrows singed, the plastic (old ones had safety glass) cover over the platen, etc flew across the room, and several people in the room almost had heart attacks.  beware the explosive properties of wd40 vapor.",12,sci.electronics
"the supreme court seems to disagree with you -- they have stated that ""the people"" is a term of art refering to an individual right, and have explicitly mentioned the second amendment as an example.  i quote:    ""... 'the people' seems to have been a term of art employed in   select parts of the constitution.  the preamble declares that the   constitution is ordained, and established by 'the people of the   the u.s.'  the second amendment protects the right of the people   to keep and bear arms ...."" 	- supreme court of the u.s.,  u.s. v. uerdugo-uriquidez (1990).  furthermore, in the miller decision, they only permitted prosecution for possession of a sawed-off shotgun because the defense had not presented testimony and they therefore accepted the argument of the government that such weapons have no military value -- they held that the amendment protected the individual right to possess military weapons. unfortunately, no second amendment case has successfully gotten to the court in fifty years. however, that does not change the interpretation.  furthermore, it appears that others disagree with you as well, vis:   ""the conclusion is thus inescapable that the history, concept,   and wording of the second amendment to the constitution of the   united states, as well as its interpretation by every major   commentator and court in the first half-century after its ratifi-   cation, indicates that what is protected is an individual right   of a private citizen to own and carry firearms in a peaceful manner.""    - report of the subcommittee on the constitution of the      committee on the judiciary, united states senate,      97th congress, second session ( february 1982 )  you might rightfully ask ""well then, what does that first bit about militias mean?""  well, ""militia"" in historical context basically means the whole of the adult males of the country. (indeed, the u.s. code still defines ""militia"" as all armed men over the age of 17).     ""the militia comprised all males physically capable of acting     in concert for the common defense ....  and ... these men were     expected to appear bearing arms supplied by themselves and of     the kind in common use at the time."" 	- supreme court of the united states,  u.s. v. miller (1939).  the reason for the phrase being there was to explain the rationale behind the amendment, which was this: by depending on the people to bear arms in defense of the country, no centralization of military power could ever occur which would permit tyranny -- in short, the government would remain perpetually in fear of the people, rather than the other way around.     ""no free man shall ever be debarred the use of arms.  the strongest reason    for the people to retain the right to keep and bear arms is, as a last    resort, to protect themselves against tyranny in government.""      - thomas jefferson, proposal virginia constitution, june 1776        1 thomas jefferson papers, 334 (c. j. boyd, ed., 1950).     ""and what country can preserve its liberties, if its rulers are not    warned from time to time that this people preserve the spirit of    resistance ?  let them take arms ... the tree of liberty must be    refreshed from time to time, with the blood of patriots and tyrants.""      - thomas jefferson (letter to william s. smith, 1787, in        jefferson, on democracy 20, s. padover, ed., 1939).     ""before a standing army can rule, the people must be disarmed;    as they are in almost every kingdom of europe.  the supreme    power in america cannot enforce unjust laws by the sword;    because the whole body of the people are armed, and constitute    a force superior to any bands of regular troops that can be, on    any pretense, raised in the united states.""      - noah webster, ""an examination into the leading principles        of the federal constitution"" (1787), in pamphlets on the        constitution of the united states (p. ford, 1888).  you may disagree with the second amendment, and wish that it be repealed, but please do not pretend that it isn't there and that it doesn't mean what it says. you might argue that conditions have changed and that it should no longer be present, but you can't imagine it away.  i could fill a book with detailed argumentation. many have already.  however, none of this has anything to do with cryptography.  lets get it out of here. if you insist on discussing this, please do it in talk.politics.guns, where people will gladly discuss this matter with you.  -- perry metzger		pmetzger@shearson.com",11,sci.crypt
"ed>1.  all of us that argue about gyroscopes, etc., throughly understand ed>the technique of countersteering.  me>including all the ones who think that they countersteer all the way me>through a corner??  ed>well... all the way through a decreasing-radius corner, anyway...  maybe they are riding around an ever-decreasing circle of lies which eventually leads to the truth....    me>the official line here (though i do have my doubts about it) is that the me>front brake is applied first, followed by the rear brake, the idea being me>that you avoid locking up the rear after weight transfer takes place.    me too, though unfortunately the ""official line"" is the one that you have to adhere to if you want to get a full licence. the examiner's guidelines are laid down by the government, and the basic rider education courses have no choice but to follow them. it surprises me that none of the rider groups here, either mag or the bmf make much noise about the fact that the riding test requires you to ride three feet from the kerb all the time in order to pass, that the front brake must be applied before the rear, that you have to keep looking over your shoulder all the time (instead of just when it is justified) - there's probably a few more too, which i can't think of for the moment. if the riding test could be rejigged a bit  to include more of the real-world survival skills and less of the  woefully simplistic crap that it contains now, then the accident figures would (imho) reduce still further.  don't think we should include countersteering knowledge in our test though...",8,rec.motorcycles
":  : i am considering buying a 1993 chevy or gmc 4x4 full-size pickup with : the extended cab.  any opinions about these vehicles?  have there been : any significant problems? :  : --  : dick grady           salem, nh,  usa            grady@world.std.com : so many newsgroups, so little time!   i bought a brand new 1992 chevrolet k2500 hd 4x4 extended cab last may.  it has had many, many problems.  see my earler post that describes the situation.  i went to bbb arbitration, and they ruled that chevrolet must buy it back from me.  if you do get one, stay away from the 5 speed manual with the deep low first gear.  they have put three of them in my truck so far.  after about 1,500 miles, overdrive either starts rattling or hissing loudly.  there is no way to fix them.  chevrolet  says that the noise is ""a characteristic of the transmission.""  also, if you are planning to use your truck to tow, the gear ratios in that tranny suck.  on a steep hill, you get up to about 55 mph in second gear at 4,000 rpm (yellow line).  if you shift to third, the rpm drop to only 2,500, and you begin to loose speed.  i should point out that the 350 v8 they put in the hd (8600 gvw) trucks is a detuned motor compared to the one they put in the light duty ones.  they dropped the compression ratio, supposedly for ""engine longevity"" reasons.  so the light duty 350 may pull better than my truck does. other things that have gone wrong include the ventilation fan (3 times  so far), paint (had specs of rust embedded in the paint from being shipped by rail with no covering), and suspension parts (link between stabilizer and control arm fell off).  any company can make a bad individual car, chevrolet included.  what really bothered me was the way they reacted.  they made no attempt to deal with me except to tell me to take it back to the dealer for  them to attempt to fix it one more time.  so i bought a brand new ford f250 hd super cab with a 460 and an automatic.  i will never buy another chevrolet.",7,rec.autos
"sorry, that's a feature.  the icccm specifies how the app should set its title, so the wm is obliged to do it.  if this bothers you, complain to the app writer.   write your own wm that doesn't support the icccm.  or write an program that you give a window id and a title.  the your program can set the windows title for the app and then if the app changes it, your program switches it back again.",5,comp.windows.x
"i don't have nor imagine nor real 3d, but as old amiga user i think you should take a look also to  real 3d 2.0 for the amiga. i saw imagine 2.0 on the amiga for a long time at my friend's home, and i've seen r3d 2.0 in action at bit.movie 93 in riccione, italy (an italian computer graphics contest). many professionals using 3d studio on pc, softimage for silicon graphics and imagine on the amiga were  *very impressed* by the power of this programs. sorry, i've lost the posting with full description  of features of this great program.  for more informations give a look in comp.sys.amiga.graphics.  representative of activa international told me that it will be out in 2 weeks for the amiga and that pc ms-windows, silicon indigo and unix version are  under development.  ciao, 	sergio",1,comp.graphics
"i've only ever done it in an automatic. i was sitting in my olds, in the winter, at a light, when i heard screeching behind me. i managed to dart into the left turn lane before the sliding jetta wound up half where i was and half in the parked car beside where i was. i've never had occasion to do it on a bike, but i imagine that it would be even easier, because you could slip beside the car in front. giving a gander at the mirrors while at a light will give you time to get the clutch out smoothly when you notice trouble, instead of waiting for the screeching.",8,rec.motorcycles
"i don't know the exact coverage in the states.  in canada it is covered by tsn, so maybe espn will grab their coverage!  i don't know!  as for the picks ottawa picks #1 which means it is almost 100% that alexander daigle will  go #1. he'll either stay or be traded in montreal or quebec.  imo i would take kariya.  he should alot of leadership in the ncaa and so far in the world championships.  daigle didn't show this for his junior team.  san jose will then get kariya.  tampa bay will either go for a russian kozlov (i think that's it) or a      defenseman rob niedemeyer (probably spelt the last name wrong)  because of expansion i won't go further but i will name other of the blue chip prospects     - chris gratton    - chris pridham    - a swedish player who i can't remember his name  draft order ----------- 1) ottawa 2) san jose 3) tampa bay 4) south florida or anahiem 5) south florida or anahiem 6) hartford 7) edmonton 8) dallas 9) ny rangers 10) philadelphia  the 8th thru 10th picks could be wrong - i don't have the standings here and am guessing   (in my mind there are 8 top notch prospects in the draft, with kariya   leading the way but not going #1)",10,rec.sport.hockey
"aw&st  had a brief blurb on a manned lunar exploration confernce may 7th  at crystal city virginia, under the auspices of aiaa.  does anyone know more about this?  how much, to attend????  anyone want to go?",14,sci.space
"this was reported in canadian papers thursday, 22 april - i _think_ the source was upi, but don't recall for certain.    i understand that at least two goverment investigations have been ordered, so we may learn more during their hearings.    tough call without more investigation, but if the thermal imaging story holds up, i think the government will be more credable... of course, paranoia fans won't believe their results anyway, will they?   hear, hear! i'd also like to see the autopsy reports confirm news reports that multiple victims were found shot (in the head), and in positions inconsistent with fire victims. it is simply too early to draw conclusions either way about this nasty incident, but i tend to believe the government side.",16,talk.politics.guns
"using the vmode command, all you need to do is type vmode vesa at the dos prompt. vmode is included with the speedstar 24.  i have used the vesa mode for autodesk animator pro.",1,comp.graphics
"cad setup for sale:  g486plb local bus motherboard   can use up to 32mb of simms (256k/1m/4m)   9 expansion slots (8 16-bit slots, 1 32-bit slot)   weitek 4167 co-processor socket  33 mhz intel cpu  33 mhz weitek 4167 math co-processor  g-host4000 local bus et4000 video card   based on tseng labs' et4000 chip design   supports resolutions up to 1280x1024 interlaced or non-interlaced   uses ramdac to allow up to 32k colors in 800x600, 65k colors in 640x480   register level compatible with cga, ega, vga, mda   software drivers available for 1-2-3, symphony, autocad, autoshade,    windows, wordperfect, vesa and 8514/a emulation   also contained on the card:     local bus ide controller     floppy disk controller     two fully configuarable serial ports     1 parallel port     1 game port    i used this setup to run autocad and 3d studio.  the combination of  local bus and the weitek co-processor made for very fast cad and modeling  work.  the weitek coprocessor can cut 3d studio render times in half and  sometimes more.  it also increases redraws and regens when modeling in  both 3d studio and autocad.  everything is less than a year old.  i am  asking $950.00 + shipping for the whole package.  please respond via email.  thanks.",6,misc.forsale
"[ . . .]  i am a relativist who would like to answer your question, but the way you phrase the question makes it unanswerable.  the concepts of ""right"" and ""wrong"" (or ""correct/incorrect"" or ""true/false"") belong to the domain of epistemological rather than moral questions.  it makes no sense to ask if a moral position is right or wrong, although it is legitimate to ask if it is good (or better than another position).  let me illustrate this point by looking at the psychological derivatives of epistemology and ethics:  perception and motivation, respectively. one can certainly ask if a percept is ""right"" (correct, true, veridical) or ""wrong"" (incorrect, false, illusory).  but it makes little sense to ask if a motive is true or false.  on the other hand, it is strange to ask whether a percept is morally good or evil, but one can certainly ask that question about motives.  therefore, your suggested answers (a)-(c) simply can't be considered: they assume you can judge the correctness of a moral judgment.  now the problem with (d) is that it is double-barrelled:  i agree with the first part (that the ""rightness"" of a moral position is a meaningless question), for the reasons stated above.  but that is irrelevant to the alleged implication (not an implication at all) that one cannot feel peace is better than war.  i certainly can make value judgments (bad, better, best) without asserting the ""correctness"" of the position.  sorry for the lengthy dismissal of (a)-(d).  my short (e) answer is that when two individuals grotesquely disagree on a moral issue, neither is right (correct) or wrong (incorrect).  they simply hold different moral values (feelings).",0,alt.atheism
"<<i wrote> <is there a resource available to the consumer comparing all of the makes <and models of automobiles, trucks, vans, etc. for survivability in a <crash of different severities? <... <also, i've found very little objective data comparing different <vehicles for handling, pick-up, braking, expected maintenance, etc. <i recall years ago consumer reports annual buyer's guide was much more <informative in those aspects than it is now.  thanks to a reply from someone i looked a little further and found what i was looking for.  the april cr magazine has most of the above things. despite recent articles here the ratings looked pretty good for relative comparison purposes.  unfortunately the crash test comparisons didn't include half of the cars i'm comparing. anybody know how '93 honda civic hatchbacks and toyota tercels fare in an accident?",7,rec.autos
the explanations of federal law enforcement officials about what happened in waco is just another example of the survivors writing the history books to put themselves in the best of a bad light. --  dave feustel n9myi <feustel@netcom.com>,16,talk.politics.guns
"has anybody generated an x server for windows nt?  if so, are you willing to share your config file and other tricks necessary to make it work?  thanks for any information.",5,comp.windows.x
be patient. he has a sore shoulder from crashing into the wall. the cards will give him all the time he needs to come around. he is their full time centerfielder. he will not however steal as often this year as he is hitting clean-up.,9,rec.sport.baseball
"according to a previous poster, one should seek a doctor's assistance for injections. but what about sumatriptin [sp?]? doesn't one have to inject oneself immediately upon the onset of a migraine?",13,sci.med
"is there a way to connect a powerbook 145, mac iisi, and personal laserwriter ls so that i can (not necessarily silmultaneoulsy) print from either the iisi, or pb, and file share between the iisi and pb? i know i can get the ($expensive$) lw nt upgrade for my ls, but i can't afford that...",4,comp.sys.mac.hardware
would you believe that there is a letter in macweek this week from one of the hardware types at digital eclipse. he says that they run tests on all of the components to see if they will perform at the upgraded speed. if they do not then desi replaces them with ones that do.,4,comp.sys.mac.hardware
proof that the entire private sector is vastly more inefficient?   	blue cross is the government health insurance provider.  	oops.  	[ads for z magazine deleted to save the earth],18,talk.politics.misc
"david karr, on the tue, 20 apr 1993 01:01:01 gmt wibbled: : >in article <1993apr19.141959.4057@bnr.ca> : > : >> with regards to the pub brawl, he might have a history of such things. : >> just because he was a biker doesn't make him out to be a reasonable : >> person.  even the dod might object to him joining, who knows?  : if he had a history of such things, why was it not mentioned in the : article, and why did they present the irrelevant detail of where he : got his drinking money from?  : i can't say exactly who is at fault here, but from where i sit is : looks like we're seeing the results either of the law going way out : of hand or of shoddy journalism.  : if the law wants to attach strings to how you spend a settlement, they : should put the money in trust.  they don't, so i would assume it's : perfectly legitimate to drink it away, though i wouldn't spend it that : way myself.  : -- david karr (karr@cs.cornell.edu)  we heard about this from a newspaper article.  journalists and editors always pick out the most interesting and sensational ""facts"" for our facts get in the way of a good story"".  you must have noticed how motorcyclists get treated by the press.  they thrive on hysteria, ignorance, sensationalism and one-upmanship.  unfortunately there's not enough salt to keep taking a pinch of.  --  nick (the cynical old biker)   dod 1069   concise oxford   leaky new gearbox  m'lud.",8,rec.motorcycles
"reading all you folks things to do to illegally parked cars made me wonder who's going to carry cinder blocks on a bike(?!?!?) or is  ready to do serious damage (key carvings etc.) to a cage.  then i had an idea--chain lube isn't just for chain's anymore!!!  it seems more reasonable to me, no permanent damage but lots of work to get off!  (don't ask me how i know :)  use it anywhere, the windshield, the door handles, in the keyhole, etc.  what a nasty mood i'm in. it's raining again...",8,rec.motorcycles
"no.  zeno's paradox is resolved by showing that integration or an infinite series of decreasing terms can sum to a finite result.   well, suppose a probe emitting radiation at a constant frequency was sent towards a black hole.  as it got closer to the event horizon, the red shift would keep increasing.  the period would get longer and longer, but it would never stop.  an observer would not observe the probe actually reaching the event horizon.  the detected energy from the probe would keep decreasing, but it wouldn't vanish.  exp(-t) never quite reaches zero.  i guess the above probably doesn't make things any more clear, but hopefully you will get the general idea maybe.",19,talk.religion.misc
"i am looking for a package which takes as inputs a set of geometric objects defined by unions of convex polytopes specified in some manner, say by inequalities and equalities, and determines in some reasonable form things like intersections, unions, etc. etc..  does anyone know where i can find such a thing?",1,comp.graphics
"oh dear, time for me to try to remember my chemistry.  let's see if i can find the formulae somewhere in the dim recesses of my mind. <sounds of gears>  <fumes of overheated oil>  <unmistakable stench of the nasal chromatograph>   ha!  i knew there was a double bond!  now how shall i show that in ascii?             mek:                                 acetone:            c - c - c - c                        c - c - c               #                                    #               o                                    o  the hydrogens are not shown, and # represents double bond.  mek has a methyl (ch3) on one side, and an ethyl (c2h5) on the other.  acetone has two methyls.  so acetone is not methyl ethyl ketone, but instead is dimethyl ketone.  both solvents have similar properties.  i think that mek may be a little less flammable but a lot worse to breathe. it's a lot harder to buy mek than it once was.  use acetone.  nail polish remover consists almost entirely of acetone.  if you buy some for your workshop, get the very cheapest, because the more expensive kind has oils and perfumes that you don't need.",12,sci.electronics
"archive-name: rec-autos/part3  the automotive articles archive server:  the automotive archive server is in the process of being rehosted, and is presently not available.",7,rec.autos
